ano,servico,consorcio,km_apurada,receita_total_esperada,receita_tarifaria_esperada,subsidio_esperado,subsidio_glosado,receita_total_aferida,receita_tarifaria_aferida,subsidio_pago,saldo,versao,datetime_ultima_atualizacao,id_execucao_dbt
2025,385,Internorte,6828.063000000,,32734.372770000,,,,56109.410000000,,23375.037230000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SV669,Internorte,38613.334000000,,185143.749860000,,,,104950.050000000,,-80193.699860000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SN483,Internorte,41437.939000000,,198673.453710000,,,,171060.660000000,,-27612.793710000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SN232,Internorte,13541.233000000,,64943.446070000,,,,41168.000000000,,-23775.446070000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SN919,Internorte,21320.626000000,,102233.458240000,,,,47992.930000000,,-54240.528240000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,328,Internorte,271975.863000000,,1302817.781270000,,,,1802364.670000000,,499546.888730000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,908,Internorte,260519.566000000,,1247888.721140000,,,,1891365.410000000,,643476.688860000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,254,Internorte,36770.080000000,,176289.112400000,,,,136067.700000000,,-40221.412400000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,606,Internorte,471525.876000000,,2260997.999140000,,,,4707291.560000000,,2446293.560860000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,778,Internorte,100679.300000000,,482811.559400000,,,,443761.570000000,,-39049.989400000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,335,Internorte,121354.138000000,,582049.729420000,,,,466734.050000000,,-115315.679420000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SR386,Internorte,30483.579000000,,146124.496210000,,,,19596.830000000,,-126527.666210000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SVB901,Internorte,13680.353000000,,65528.890870000,,,,39485.480000000,,-26043.410870000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,362,Internorte,185612.576000000,,890113.857040000,,,,1036191.160000000,,146077.302960000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SV908,Internorte,14185.332000000,,67947.740280000,,,,504185.900000000,,436238.159720000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,247,Internorte,306328.449000000,,1468664.464310000,,,,2385173.000000000,,916508.535690000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,920,Internorte,188248.268000000,,902542.239720000,,,,1140861.630000000,,238319.390280000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,483,Internorte,524739.110000000,,2517546.848800000,,,,3075677.300000000,,558130.451200000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,298,Internorte,485614.092000000,,2328339.453680000,,,,3670731.870000000,,1342392.416320000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,688,Internorte,96574.803000000,,463094.551270000,,,,455278.640000000,,-7815.911270000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,312,Internorte,311000.555000000,,1491064.460050000,,,,2241703.240000000,,750638.779950000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SP329,Internorte,46530.505000000,,223067.041650000,,,,194147.610000000,,-28919.431650000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,630,Internorte,138244.924000000,,662954.780260000,,,,642522.080000000,,-20432.700260000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SN696,Internorte,7064.584000000,,33839.357360000,,,,4303.910000000,,-29535.447360000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,384,Internorte,181020.340000000,,867925.459000000,,,,679988.050000000,,-187937.409000000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,485,Internorte,65419.476000000,,313531.212440000,,,,377443.430000000,,63912.217560000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
2025,SP265,Internorte,287913.985000000,,1380584.942950000,,,,842235.280000000,,-538349.662950000,933971ef4769872f2b34a01c0fa8ae22488bdb85,2025-07-15 21:04:37.523508,9b1a0f21-cffb-42cf-ad0c-edf953ee336e
